,token_type,registration_country,legal_structure,industry,celebrity_endorsement,ico_successful,investors_have_governance_rights,kyc/aml_procedure,legal_form_and_jurisdiction_known,"length_of_crowdsale_(calendar_days,_actual)",team_size,time_to_listing_(calendar_days),total_amount_raised_(usdm),use_of_proceeds_mentioned,whitepaper_page_count,is_active,vc_count
0,Utility-token,Cayman Islands,joint-stock corporation,Trading & Exchanges,0,1,0,1,1,2,12,0.0,26.0,0,16.0,1,4
1,New Blockchain,Singapore,foundation,Blockchain Infrastructure,0,1,0,0,1,1,17,51.0,8.0,0,18.0,1,0
2,Utility-token,other,other,Commerce & Advertising,0,1,0,1,0,24,21,28.0,10.0,1,56.0,1,0
3,Security,other,joint-stock corporation,Finance,0,0,1,1,1,31,9,16.0,1.0,0,11.0,0,0
4,Utility-token,Estonia,joint-stock corporation,Commerce & Advertising,0,1,0,0,1,1,6,1.0,14.0,1,33.0,1,0
5,Utility-token,Estonia,joint-stock corporation,Commerce & Advertising,0,1,0,1,1,1,9,48.0,15.0,0,70.0,0,0
6,Security,Singapore,joint-stock corporation,Commerce & Advertising,0,1,1,1,1,21,7,124.0,7.0,1,35.0,1,1
7,Utility-token,United States,joint-stock corporation,Commerce & Advertising,0,1,1,0,1,1,6,6.0,9.0,1,16.0,1,0
8,New Blockchain,other,foundation,Blockchain Infrastructure,0,1,1,0,1,68,6,-8.0,35.0,0,10.0,1,0
9,Utility-token,Estonia,joint-stock corporation,Legal,0,1,0,1,1,33,5,23.0,30.0,0,35.0,1,0
10,Cryptocurrency,Switzerland,joint-stock corporation,Charity,0,1,0,1,1,1,25,8.0,16.0,1,28.0,1,1
11,Utility-token,Singapore,joint-stock corporation,Insurance,0,1,0,0,1,31,7,27.0,4.0,1,32.0,1,0
12,Utility-token,Hong Kong,joint-stock corporation,Trading & Exchanges,0,1,1,1,1,1,8,7.0,15.0,1,13.0,1,1
13,Utility-token,United States,joint-stock corporation,Finance,0,1,0,1,1,8,8,4.0,15.0,1,46.0,1,5
14,Utility-token,other,joint-stock corporation,Social Networks,0,1,0,0,1,29,5,13.0,4.0,1,26.0,0,0
15,Utility-token,Switzerland,limited liability partnership,Provenance & Notary,0,1,0,1,1,34,21,3.0,56.0,1,37.0,1,0
16,Utility-token,Singapore,joint-stock corporation,Marketplaces,0,1,0,1,1,8,6,19.0,17.0,1,45.0,1,1
17,Utility-token,Estonia,foundation,Blockchain Infrastructure,0,1,1,0,1,1,2,1.0,25.0,1,39.0,1,0
18,Utility-token,United Kingdom,joint-stock corporation,Trading & Exchanges,0,1,1,1,1,37,6,169.0,16.0,1,28.0,1,0
19,Cryptocurrency,United States,limited liability partnership,Payments,0,1,0,0,1,31,5,69.0,0.0,0,27.0,1,0
20,Security,other,joint-stock corporation,Real Estate,0,1,1,0,1,55,8,1.0,7.0,1,40.0,1,0
21,Utility-token,United Kingdom,joint-stock corporation,Events & Entertainment,0,1,1,0,1,1,9,0.0,20.0,0,18.0,1,1
22,Utility-token,Singapore,other,Finance,0,1,0,1,0,5,15,13.0,20.0,0,24.0,1,0
23,Utility-token,Singapore,joint-stock corporation,Marketplaces,0,1,0,1,1,1,8,21.0,15.0,1,44.0,1,0
24,Utility-token,Switzerland,foundation,Trading & Exchanges,0,1,0,0,1,1,9,6.0,159.0,1,13.0,1,2
25,Utility-token,Cayman Islands,other,Finance,0,1,0,1,0,29,28,18.0,74.0,1,36.0,0,0
26,Utility-token,Cayman Islands,joint-stock corporation,Commerce & Advertising,0,1,0,0,1,1,12,1.0,36.0,1,37.0,1,8
27,Utility-token,United States,joint-stock corporation,Communications,0,1,0,0,1,35,10,15.0,12.0,0,36.0,0,1
28,Cryptocurrency,Singapore,joint-stock corporation,Search,0,1,0,1,1,31,12,4.0,26.0,1,51.0,1,0
29,Utility-token,other,joint-stock corporation,Online-learning,0,1,0,1,1,30,16,14.0,23.0,1,36.0,0,0
30,Security,other,joint-stock corporation,Gambling & Betting,0,1,0,0,1,32,9,10.0,9.0,1,24.0,0,0
31,Utility-token,Gibraltar,joint-stock corporation,Marketplaces,0,1,0,0,1,31,14,34.0,15.0,0,27.0,0,0
32,Utility-token,Singapore,joint-stock corporation,Finance,0,1,0,1,1,19,10,2.0,0.0,0,24.0,0,0
33,Security,Cayman Islands,joint-stock corporation,Finance,0,1,0,1,1,2,31,7.0,30.0,0,10.0,0,0
34,Utility-token,United States,limited liability partnership,Data Analytics,0,1,0,1,1,18,7,15.0,8.0,1,33.0,0,0
35,Security,United States,joint-stock corporation,Finance,0,1,0,0,1,31,6,1.0,10.0,0,0.0,0,1
36,New Blockchain,United Kingdom,joint-stock corporation,Blockchain Infrastructure,0,1,0,0,1,61,5,132.0,2.0,1,8.0,0,0
37,Utility-token,other,joint-stock corporation,Events & Entertainment,0,1,1,0,1,22,5,12.0,7.0,0,9.0,1,0
38,Utility-token,Switzerland,joint-stock corporation,Blockchain Infrastructure,0,1,0,1,1,40,4,34.0,22.0,1,27.0,1,0
39,Utility-token,Gibraltar,joint-stock corporation,Finance,0,1,0,1,1,33,9,14.0,40.0,0,17.0,1,1
40,Utility-token,Singapore,joint-stock corporation,Data Analytics,0,1,0,1,1,4,10,17.0,16.0,1,42.0,1,4
41,New Blockchain,Switzerland,foundation,Blockchain Infrastructure,0,1,1,0,1,1,13,169.0,17.0,1,20.0,0,0
42,Utility-token,Cayman Islands,joint-stock corporation,Search,0,1,1,0,1,2,8,10.0,2.0,0,25.0,1,0
43,Utility-token,Cayman Islands,joint-stock corporation,Payments,0,1,0,1,1,11,14,0.0,44.0,0,15.0,1,6
44,Utility-token,other,joint-stock corporation,Marketplaces,0,1,0,1,1,32,15,12.0,15.0,1,41.0,1,0
45,Security,other,joint-stock corporation,Marketplaces,1,1,0,0,1,33,9,7.0,9.0,1,37.0,1,0
