name_other,name_cmc,ticker_symbol_cmc,ico_successful,soft_cap,hard_cap,cap_unit,cap_includes_presale,token_type,number_of_contributors,crowdsale_tokens_sold,total_number_of_tokens,token_standard,additional_token_emissions,crowdsale_token_price_min,crowdsale_token_price_max,crowdsale_actual_token_price_max,Crowdsale is auction,Has a presale,presale_tokens_sold,presale_token_price_min,presale_token_price_max,Development road map available,Whitepaper page count,Product or prototype developed,Product can be tried out,Years since foundation,Issuer has customers for product,Business model available,Utility token enables decentralization,Smart contract code available,Project code available,Use of proceeds mentioned,Use of proceeds disclosed in detail,Token share team (ex ante),Token share crowdsale investors (ex ante),Token share presale investors (ex ante),Token share producers/miners (ex ante),Unsold tokens 'burnt' or proportional allocation,Unsold tokens kept by issuer,Unsold tokens locked up,Lock up period unsold tokens (years),Team lockup period (weighted avg.),Presale lockup period (weighted avg.),vc_support_general,vc_support_blockchain_specialist,Investors have governance rights,Team size,Experienced team,Team member with business background,advisor_quality,legal_structure,registration_country,address,Independent custodian for ICO funds,portfolio_converted_into_fiat,Funding milestones,Qualified investors only,Simple agreement for future tokens (SAFT),KYC/AML procedure,US retail investors excluded,Investors from other (non-US) jurisdictions excluded,Legal advisor disclosed,Financial advisor disclosed,air_drop_after_ICO ,industry,ethereum_contract_address,ico_start_date,ico_end_date_planned,ico_end_date_actual,Amount raised in presale (USDm),Amount raised in crowdsale (USDm),Total amount raised (USDm),Total amount raised (USDm),BTC_ret_ico_period,Presale discount (%),Fundraiser has maximum ('hard cap'),Fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,Percentage of hard cap raised (%),pct_of_crowdsale_target_raised,price_presale_avg,price_presale,price_crowdsale_avg,price_crowdsale,Crowdsale max. discount (%),US_qualified_only,Team business background missing,Team experience missing,average_discount,Team tokens locked up,Presale tokens locked up,issued_on_other_platf,Legal form and jurisdiction known,Postal address known,Registered in offshore financial center,switzerland,is_ethereum,Is cryptographic token,Has VC backing,has_generalist_vc,has_specialist_vc,Unknown or low quality advisors,High quality advisory team,Token supply is fixed,Token share crowdsale investors (ex post),post_money_val_crowdsale,Celebrity endorsement,Is a security,Is a utility token,token_is_cryptocurrency,token_is_new_blockchain,Is currency or general purpose blockchain,Decentralised platform,Legal entity is foundation,Legal entity is corporation,Legal entity is LLC,Legal entity is corporation or LLC,"Length of crowdsale (calendar days, actual)","Length of crowdsale (calendar days, planned)",lock_up_period_team_ep,presale_transparent,industry,(first) date,Time to listing (calendar days)
0x,0x,ZRX,1,0,24000000,USD,1,Utility-token,,500000000,1000000000,ERC-20,0,0,0,0,0,0,,,,0,16,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,,No,Polychain Capital; Pantera Capital; Blockchain Capital; Kenetic Capital,0,12,0,0,unknown,joint-stock corporation,Cayman Islands,unknown,0,0,0,0,0,1,0,0,0,0,0,Trading & Exchanges,0xe41d2489571d322189246dafa5ebde1f4699f498,8/15/17,8/19/17,8/16/17,0,26,26,26,0,,1,0,USD,USD,106,100,,,0,0,0,0,0,0,0,1,,1,1,0,1,0,1,1,1,0,1,1,0,1,1,51,0,0,1,0,0,0,1,0,1,0,1,2,5,1,1,Trading & Exchanges,8/16/17,0
Achain,Achain,ACT,1,0,7555980,BTC,0,New Blockchain,,300000000,1000000000,No,1,0,0,0,0,1,300000000,,,1,18,1,0,2,0,1,,,0,0,0,0,0,0,0,0,1,0,0,1,1,No,No,0,17,0,0,unknown,foundation,Singapore,"ACHAIN FOUNDATION LTD., 9 TEMASEK BOULEVARD, #04-02 SUNTEC TOWER TWO, SINGAPORE 038989",0,0,0,0,0,0,0,0,0,0,0,Blockchain Infrastructure,not applicable,7/7/17,7/21/17,7/7/17,,8,8,,0,,1,0,BTC,BTC,,,,,0,0,5,0,1,1,45,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,1,1,1,1,0,0,0,1,15,1,0,Blockchain Infrastructure,8/27/17,51
adbank,adbank,ADB,1,0,10416800,ETH,1,Utility-token,,510000000,1000000000,ERC-20,0,0,0,0,0,0,,,,1,56,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,2,,No,No,0,21,1,0,high,unknown,Canada,"Collingwood, Ontario, CANADA, L9Y 1A1",0,0,0,0,0,1,1,1,0,0,0,Commerce & Advertising,0x2baac9330cf9ac479d819195794d79ad0c7616e3,12/14/17,1/21/18,1/6/18,0,10,10,10,0,,1,0,ETH,ETH,100,100,,,0,0,17,0,0,0,41,1,,1,0,1,0,0,1,1,0,0,0,0,1,1,1,20,0,0,1,0,0,0,1,0,0,0,,24,39,2,1,Commerce & Advertising,2/3/18,28
Adelphoi,Adelphoi,ADL,0,2057769,,BTC,1,Security,,28333333,100000000,Nxt,0,,,,1,0,,,,0,11,0,0,0,0,1,,0,0,0,0,0,1,0,0,1,0,,,,,No,No,1,,1,1,unknown,joint-stock corporation,Isle of Man,"Adel Ecosystem Limited, Alma House, 7 Circular Road, Douglas, IM1 1AF, Isle of Man",0,0,1,0,0,1,1,0,0,0,0,Finance,not applicable,5/1/17,5/31/17,5/31/17,0,1,1,1,0,,0,1,BTC,BTC,,,,,,,,0,0,0,,0,,1,1,1,1,0,0,1,0,0,0,1,0,1,0,4,0,1,0,0,0,0,0,0,1,0,1,31,31,,1,Finance,6/16/17,16
AdEx,AdEx,ADX,1,3299949,14211989,ETH,0,Utility-token,,46809360,100000000,ERC-20,0,0,0,0,0,1,12211535,0,0,1,33,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,,No,No,0,6,0,0,neutral,joint-stock corporation,Estonia,"AdEx Network OÜ, Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117 ",0,0,0,0,0,0,0,0,1,0,0,Commerce & Advertising,0x4470bb87d77b963a013db939be332f927f2b992e,6/30/17,7/30/17,6/30/17,2,12,14,14,0,46,1,1,ETH,ETH,100,100,0,0,0,0,23,0,0,1,27,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,25,0,0,1,0,0,0,1,0,1,0,1,1,31,1,1,Commerce & Advertising,7/1/17,1
Adhive (ADH),AdHive,ADH,1,5040000,15000000,USD,0,Utility-token,,110773612,392000000,ERC-20,0,0,0,0,0,1,6826725,0,0,1,70,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,,,0,0,No,No,0,9,1,1,high,joint-stock corporation,Estonia,"AdHive Platform OÜ, Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 47, 11415",0,0,0,0,0,1,1,1,0,1,0,Commerce & Advertising,0xe69a353b3152dd7b706ff7dd40fe1d18b7802d31,2/28/18,3/14/18,2/28/18,1,14,15,15,0,26,1,1,USD,USD,100,100,0,0,0,0,24,0,0,0,25,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,49,0,0,1,0,0,0,1,0,1,0,1,1,15,0,1,Commerce & Advertising,4/17/18,48
Aditus,Aditus,ADI,1,2000000,11000000,USD,1,Security,,86559291,750000000,ERC-20,0,0,0,0,0,1,113440709,,0,1,35,0,0,0,0,1,,1,0,1,0,1,0,0,0,1,0,,,0,,No,District 13,1,7,1,1,high,joint-stock corporation,Singapore,"Aditus Pte. Ltd., 178 CLEMENCEAU AVENUE #03-01 HAW PAR GLASS TOWER SINGAPORE 239926",0,0,0,0,0,1,1,1,1,0,0,Commerce & Advertising,0x8810c63470d38639954c6b41aac545848c46484a,11/30/17,12/20/17,12/20/17,5,3,7,7,0,,1,1,USD,USD,65,40,0,0,0,0,3,0,0,0,29,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,23,0,1,0,0,0,0,1,0,1,0,1,21,21,0,1,Commerce & Advertising,4/23/18,124
adToken,adToken,ADT,1,0,9089576,ETH,1,Utility-token,,500000000,1000000000,ERC-20,0,0,0,0,0,1,100000000,,,1,16,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,3,,No,No,1,6,1,0,high,joint-stock corporation,United States," MetaXchain, Inc., 3110 Main St., Penthouse Suite #400, Los Angeles CA",0,0,0,0,0,0,1,0,0,0,0,Commerce & Advertising,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd,6/26/17,6/26/17,6/26/17,,9,9,,0,,1,0,ETH,ETH,,,,,0,0,0,0,0,0,17,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,18,0,0,1,0,0,0,0,0,1,0,1,1,1,3,0,Commerce & Advertising,7/2/17,6
Aeron,Aeron,ARN,1,0,28571429,tokens,1,Utility-token,,,20000000,ERC-20,0,0,0,0,0,1,,0,0,1,44,0,0,1,0,1,1,1,0,1,0,0,,,0,1,0,,,,,No,No,0,10,1,1,high,joint-stock corporation,Belize,"Aeron Labs, #7 New Road, Belize City",0,0,0,0,0,0,1,0,1,0,0,Travel & Tourisim,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,9/19/17,10/23/17,10/30/17,,,,,0,32,1,0,tokens,tokens,,,,0,,0,30,0,0,0,,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,,,0,0,1,0,0,0,1,0,1,0,1,42,35,,0,Travel & Tourisim,11/7/17,8
Aeternity,Aeternity,AE,1,0,21649485,CHF,1,New Blockchain,,226789011,276571964,ERC-20,1,0,0,0,0,0,,,,1,10,1,1,0,0,0,,0,1,0,0,0,1,0,0,1,0,,,,,No,No,1,6,1,1,neutral,foundation,Liechtenstein,"Aeternity Establishment, Landstr. 123, FL-9495 Triesen ",0,0,0,0,0,0,0,0,1,0,0,Blockchain Infrastructure,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,4/3/17,6/19/17,6/9/17,0,35,35,35,1,,1,0,CHF,CHF,162,100,,,0,0,41,0,0,0,64,0,,1,1,1,1,0,1,1,0,0,0,0,0,0,1,43,0,0,0,0,1,1,1,1,0,0,0,68,78,,1,Blockchain Infrastructure,6/1/17,-8
