,id,name,symbol,slug,rank,displayTV,is_active,first_historical_data,last_historical_data,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,platform
0,1403,FirstBlood,1ST,firstblood,,1,0,2016-09-28T14:59:34.000Z,2021-06-14T09:59:07.000Z,1027.0,Ethereum,ETH,ethereum,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,
1,3179,Arbidex,ABX,arbidex,2455.0,1,1,2018-08-16T17:54:42.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x9a794dc1939f1d78fa48613b89b8f9d0a20da00e,
2,1918,Achain,ACT,achain,1207.0,1,1,2017-08-27T19:45:10.000Z,2022-10-28T09:59:00.000Z,,,,,,
3,11706,Acet,ACT,acet,4080.0,1,1,2021-09-07T01:03:21.000Z,2022-10-28T09:58:00.000Z,1839.0,BNB,BNB,bnb,0x9f3bcbe48e8b754f331dfc694a894e8e686ac31d,
4,2501,adbank,ADB,adbank,1732.0,1,1,2018-02-03T19:04:29.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2baac9330cf9ac479d819195794d79ad0c7616e3,
5,2646,AdHive,ADH,adhive,,1,0,2018-04-17T20:49:25.000Z,2020-10-23T03:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xe69a353b3152dd7b706ff7dd40fe1d18b7802d31,
6,2660,Aditus,ADI,aditus,2281.0,1,1,2018-04-23T23:14:24.000Z,2022-10-28T09:59:00.000Z,1839.0,BNB,BNB,bnb,ADI-6BB,
7,1725,Adelphoi,ADL,adelphoi,,1,0,2017-06-16T19:59:59.000Z,2022-06-09T18:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0x660e71483785f66133548B10f6926dC332b06e61,
8,17369,Dot Arcade,ADT,dot-arcade,7782.0,1,1,2022-01-19T08:25:00.000Z,2022-10-28T09:55:00.000Z,1839.0,BNB,BNB,bnb,0xc008debbb1f33d9453ffd2104feb1fe7e9663524,
9,1583,The Aladin,ADT,the-aladin,,1,0,2017-03-21T16:44:50.000Z,2017-08-05T01:09:57.000Z,,,,,,
10,1775,adToken,ADT,adtoken,,1,0,2017-07-02T03:54:14.000Z,2021-10-11T09:44:08.000Z,1027.0,Ethereum,ETH,ethereum,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd,
11,20498,Adsense Token,ADT,adsense-token,,1,0,2022-06-07T17:15:00.000Z,2022-09-13T18:20:00.000Z,1839.0,BNB,BNB,bnb,0x369c092ce00e52d4fd9eedca51b737cb1b1d96f7,
12,1768,Ambire AdEx,ADX,adx-net,525.0,1,1,2017-07-01T19:54:14.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,
13,14015,Cardanomics,ADX,cardanomics,,1,0,2021-11-08T03:09:08.000Z,2021-11-28T18:19:10.000Z,1839.0,BNB,BNB,bnb,0x9068bbcdd5a9e9f545539ce9953778967e18d5a4,
14,1700,Æternity,AE,aeternity,459.0,1,1,2017-06-01T16:39:55.000Z,2022-10-28T09:59:00.000Z,,,,,,
15,2462,AidCoin,AID,aidcoin,2005.0,1,1,2018-01-24T21:09:27.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x37e8789bb9996cac9156cd5f5fd32599e6b91289,
16,574,AidBit,AID,aidbit,,1,0,2014-08-30T22:24:22.000Z,2015-03-29T19:49:18.000Z,,,,,,
17,12209,Altair,AIR,altair,4534.0,1,1,2022-02-10T07:50:00.000Z,2022-10-28T09:55:00.000Z,,,,,,
