,name_other,name_cmc,ticker_symbol_cmc,token_type,vc_support_blockchain_specialist,vc_support_general,registration_country,legal_structure,industry,celebrity_endorsement,ico_successful,investors_have_governance_rights,kyc/aml_procedure,legal_form_and_jurisdiction_known,"length_of_crowdsale_(calendar_days,_actual)",team_size,time_to_listing_(calendar_days),total_amount_raised_(usdm),use_of_proceeds_mentioned,whitepaper_page_count,is_active
0,0x,0x,ZRX,Utility-token,Polychain Capital; Pantera Capital; Blockchain Capital; Kenetic Capital,No,Cayman Islands,joint-stock corporation,Trading & Exchanges,0,1.0,0,1,1,2,12.0,0.0,26.0,0,16.0,1
1,Achain,Achain,ACT,New Blockchain,No,No,Singapore,foundation,Blockchain Infrastructure,0,1.0,0,0,1,1,17.0,51.0,8.0,0,18.0,1
3,adbank,adbank,ADB,Utility-token,No,No,Canada,unknown,Commerce & Advertising,0,1.0,0,1,0,24,21.0,28.0,10.0,1,56.0,1
4,Adelphoi,Adelphoi,ADL,Security,No,No,Isle of Man,joint-stock corporation,Finance,0,0.0,1,1,1,31,,16.0,1.0,0,11.0,0
5,AdEx,AdEx,ADX,Utility-token,No,No,Estonia,joint-stock corporation,Commerce & Advertising,0,1.0,0,0,1,1,6.0,1.0,14.0,1,33.0,1
7,Adhive (ADH),AdHive,ADH,Utility-token,No,No,Estonia,joint-stock corporation,Commerce & Advertising,0,1.0,0,1,1,1,9.0,48.0,15.0,0,70.0,0
8,Aditus,Aditus,ADI,Security,District 13,No,Singapore,joint-stock corporation,Commerce & Advertising,0,1.0,1,1,1,21,7.0,124.0,7.0,1,35.0,1
9,adToken,adToken,ADT,Utility-token,No,No,United States,joint-stock corporation,Commerce & Advertising,0,1.0,1,0,1,1,6.0,6.0,9.0,1,16.0,1
13,Aeternity,Aeternity,AE,New Blockchain,No,No,Liechtenstein,foundation,Blockchain Infrastructure,0,1.0,1,0,1,68,6.0,-8.0,35.0,0,10.0,1
14,Agrello,Agrello,DLT,Utility-token,No,No,Estonia,joint-stock corporation,Legal,0,1.0,0,1,1,33,5.0,23.0,30.0,0,35.0,1
17,AidCoin,AidCoin,AID,Cryptocurrency,Vulpem,No,Switzerland,joint-stock corporation,Charity,0,1.0,0,1,1,1,25.0,8.0,16.0,1,28.0,1
19,Aigang,Aigang,AIX,Utility-token,No,No,Singapore,joint-stock corporation,Insurance,0,1.0,0,0,1,31,7.0,27.0,4.0,1,32.0,1
20,AirSwap,AirSwap,AST,Utility-token,Kenetic Capital,No,Hong Kong,joint-stock corporation,Trading & Exchanges,0,1.0,1,1,1,1,8.0,7.0,,1,13.0,1
23,AirToken,AirToken,AIR,Utility-token,No,Right Side Capital Management; Techstars; Project 11 Ventures; NXT ventures; Launch Capital,United States,joint-stock corporation,Finance,0,1.0,0,1,1,8,8.0,4.0,15.0,1,46.0,1
28,ALIS,ALIS,ALIS,Utility-token,No,No,Japan,joint-stock corporation,Social Networks,0,1.0,0,0,1,29,5.0,13.0,4.0,1,26.0,0
29,Ambrosus,Ambrosus,AMB,Utility-token,No,No,Switzerland,limited liability partnership,Provenance & Notary,0,1.0,0,1,1,34,21.0,3.0,56.0,1,37.0,1
32,AppCoins,AppCoins,APPC,Utility-token,No,Catagonia Limited,Singapore,joint-stock corporation,Marketplaces,0,1.0,0,1,1,8,6.0,19.0,17.0,1,45.0,1
33,Aragon,Aragon,ANT,Utility-token,No,No,Estonia,foundation,Blockchain Infrastructure,0,1.0,1,0,1,1,2.0,1.0,25.0,1,39.0,1
35,Arbidex (ABX),Arbidex,ABX,Utility-token,No,No,United Kingdom,joint-stock corporation,Trading & Exchanges,0,1.0,1,1,1,37,6.0,169.0,16.0,1,28.0,1
36,ATBCoin,ATBCoin,ATB,Cryptocurrency,No,No,United States,limited liability partnership,Payments,0,1.0,0,0,1,31,5.0,69.0,0.0,0,27.0,1
37,ATLANT,ATLANT,ATL,Security,No,No,British Virgin Islands,joint-stock corporation,Real Estate,0,1.0,1,0,1,55,8.0,1.0,7.0,1,40.0,1
39,Aventus,Aventus,AVT,Utility-token,Global Advisors,No,United Kingdom,joint-stock corporation,Events & Entertainment,0,1.0,1,0,1,1,,0.0,20.0,0,18.0,1
41,aXpire,AXpire,AXPR,Utility-token,No,No,Singapore,unknown,Finance,0,1.0,0,1,0,5,15.0,,20.0,0,24.0,1
42,Banca (BANC),Banca,BANCA,Utility-token,No,No,Singapore,joint-stock corporation,Marketplaces,0,1.0,0,1,1,1,8.0,21.0,,1,44.0,1
43,Bancor,Bancor,BNT,Utility-token,Blockchain Capital; Draper Associates,No,Switzerland,foundation,Trading & Exchanges,0,1.0,0,0,1,1,9.0,6.0,159.0,1,13.0,1
45,Bankex,Bankex,BKX,Utility-token,No,No,Cayman Islands,unknown,Finance,0,1.0,0,1,0,29,28.0,18.0,74.0,1,36.0,0
46,Basic Attention Token,Basic Attention Token,BAT,Utility-token,Huiyin Blockchain Venture; Pantera capital; Digital Currency Group; Digital Finance Group,Foundation Capital; Founders Fund; Propel Venture Partners; Danhua Capital,Cayman Islands,joint-stock corporation,Commerce & Advertising,0,1.0,0,0,1,1,12.0,1.0,36.0,1,37.0,1
48,Bitbounce,Credo,CREDO,Utility-token,Tim Draper,No,United States,joint-stock corporation,Communications,0,1.0,0,0,1,35,10.0,15.0,12.0,0,36.0,0
49,BitClave,BitClave,CAT,Cryptocurrency,No,No,Singapore,joint-stock corporation,Search,0,1.0,0,1,1,31,12.0,4.0,26.0,1,51.0,1
55,BitDegree,BitDegree,BDG,Utility-token,No,No,Lithuania,joint-stock corporation,Online-learning,0,1.0,0,1,1,30,16.0,14.0,23.0,1,36.0,0
57,BitDice,BitDice,CSNO,Security,No,No,Costa Rica,joint-stock corporation,Gambling & Betting,0,1.0,0,0,1,32,,10.0,9.0,1,24.0,0
58,bitJob,bitJob,STU,Utility-token,No,No,Gibraltar,joint-stock corporation,Marketplaces,0,1.0,0,0,1,31,14.0,34.0,,0,27.0,0
59,Bitquence,Ethos,ETHOS,Utility-token,No,No,Singapore,joint-stock corporation,Finance,0,1.0,0,1,1,19,10.0,2.0,0.0,0,24.0,0
60,Blackmoon Crypto,Blackmoon,BMC,Security,No,No,Cayman Islands,joint-stock corporation,Finance,0,1.0,0,1,1,2,31.0,7.0,30.0,0,10.0,0
61,Block Array,Block Array,ARY,Utility-token,No,No,United States,limited liability partnership,Data Analytics,0,1.0,0,1,1,18,7.0,15.0,8.0,1,33.0,0
68,Blockchain Capital,BCAP,BCAP,Security,Tally Capital,No,United States,joint-stock corporation,Finance,0,1.0,0,0,1,31,6.0,1.0,10.0,0,0.0,0
69,Blockpool,Blockpool,BPL,New Blockchain,No,No,United Kingdom,joint-stock corporation,Blockchain Infrastructure,0,1.0,0,0,1,61,5.0,132.0,2.0,1,8.0,0
